id,grade,major,political,frequency,body,emotion,action,view,party_pre,party_post,party_delta,team_resonance,support,spiral,type,text
1,大三,马克思主义理论,中共党员，党龄半年。,3,3,4,4,4,4,4,0,3,4,93,高转化闭环,年级：大三 专业：马克思主义理论 政治面貌：中共党员，党龄半年。 每季度前往红色教育基地1‑2次，跟随红色实践团队或个人自发参观。很早递交入党申请书，参观红色基地后理想信念更加坚定，长期学习党史理论，主动参与红色主题实践。
2,大二,编辑出版学,共青团员，团龄五年，已递交入党申请但尚未成为入党积极分子。,1,2,2,2,2,2,3,1,2,2,50,渐进转化,年级：大二 专业：编辑出版学 政治面貌：共青团员，团龄五年，已递交入党申请但尚未成为入党积极分子。 每半年前往红色教育基地参观1次，多为集体组织，极少自主前往。参观红色基地前有入党意向，但主动性一般，处于观望状态；参观红色基地后愿意主动学习入党相关流程。思想态度端正，主要依靠集体活动获取红色教育资源，对历史认知整体正向，但缺少深度思考。
3,大二,应用心理学,共青团员，团龄三年，已成为入党积极分子但尚未入党。,3,3,3,4,3,3,4,1,3,4,83,高转化闭环,年级：大二 专业：应用心理学 政治面貌：共青团员，团龄三年，已成为入党积极分子但尚未入党。 团学骨干，经常参与红色宣讲活动，2‑3个月前往红色教育基地参观一次，参观红色基地前入党意向较强，希望向党组织靠拢，参观红色基地后入党意向进一步增强，能够辩证看待历史事件。
4,大四,社会工作,中共党员，党龄一年,4,4,4,4,4,4,4,0,3,4,98,高转化闭环,年级：大四 专业：社会工作 政治面貌：中共党员，党龄一年 每月会抽时间参与线上或线下红色学习，平均每2个月实地参观红色基地一次。参观红色教育基地前的入党意向就十分强烈，高中阶段就产生了向党组织靠拢的想法。长期系统学习党史，能够完整梳理重大历史脉络，自觉反对歪曲历史的言论，历史观较为成熟。
5,大三,新闻学,共青团员，团龄四年，是入党积极分子但尚未入党,3,3,4,4,3,3,4,1,3,4,88,高转化闭环,年级：大三 专业：新闻学 政治面貌：共青团员，团龄四年，是入党积极分子但尚未入党 每季度前往红色教育基地参观2-3次，会在参观后做记录整理。参观红色基地前入党意向较强，希望讲好红色故事，承担青年责任；参观红色基地后入党意向显著增强，尝试创作红色主题内容，传播正向历史观。
6,大三,历史学(师范类）,中共预备党员,2,3,4,3,4,1,4,3,2,2,82,高转化闭环,年级：大三 专业：历史学(师范类） 政治面貌：中共预备党员 爷爷是参加抗美援朝的老兵，从小听着抗战故事长大，但觉得那些是“上一辈的老黄历”，缺乏时代感。先前共前往红色教育基地参观3次，前两次为高中和大学新生入学教育，最近一次为自发参加的社会实践。参观红色教育基地前入党只为随大流，不辜负爷爷的期望，入党动机偏向“完成任务”；参观红色教育基地后基于对历史逻辑的深刻认同而坚定信仰，入党动机从“随大流”转变为发自内心的价值认同。
7,大一,机械工程,共青团员，团龄两年,1,1,1,0,1,0,1,1,1,1,19,低触达,年级：大一 专业：机械工程 政治面貌：共青团员，团龄两年 只有一次参观红色教育基地的经历，且完全是被动参与。 典型的“理工男思维”，极度务实，认为参观红色基地是浪费时间。参观红色教育基地前极度抵触入党，认为无用，参观红色基地完全是学校硬性摊派的学分任务。参观红色教育基地后虽然依然不打算入党，但对红色精神和革命先辈有了基本尊重。
8,大一,艺术设计,共青团员，团龄一年，刚满18岁递交入党申请，尚未被推优成为入党积极分子。,1,2,3,2,1,1,3,2,2,2,50,渐进转化,年级：大一 专业：艺术设计 政治面貌：共青团员，团龄一年，刚满18岁递交入党申请，尚未被推优成为入党积极分子。 曾有两次参观红色教育基地的经历参观红色教育基地前的入党动机模糊，内心对党组织没有真实认知。共情能力强但逻辑思维能力较弱，对历史认知支离破碎，无法想象革命英雄真实存在过的历史场景，觉得离自己生活太远，像小说里的纸片人。参观红色教育基地后对党组织产生了真实的情感向往，但对相关历史的理论认知依然薄弱。
9,大四,临床医学,共青团员，团龄两年,2,2,2,1,2,1,2,1,1,1,40,情感阻滞,年级：大四 专业：临床医学 政治面貌：共青团员，团龄两年 参观红色教育基地前对正史持全盘否定态度，常拿网上野史段子佐证自己的“批判性思维”。长期混迹网络论坛，对历史事件总想找出“隐蔽的真相”，认为官方方叙事都是“宣传需要”，带着“找茬”的心态参加红色教育活动，参观红色教育基地后思维从盲目否定修正为理性存疑，依然坚持“要批判性看待历史”。
10,大三,思想政治教育,中共预备党员,4,4,3,4,4,4,4,0,4,4,94,高转化闭环,年级：大三 专业：思想政治教育 政治面貌：中共预备党员 作为团队负责人/团支书带队，每年前往红色教育基地参观次数达5次以上。 父母都是是公务员，从小政治觉悟就比同龄人要高，但很多同伴觉得其过于刻板。参观红色教育基地前，理论功底扎实但苦恼于“讲道理没人听”，被同学认为是“只会背书的教条主义者”。参观红色教育基地后掌握传播正确历史观的方法，表示“现在敢在宿舍里跟室友讨论历史问题了”。
11,大二,法学,共青团员，团龄3年，已递交入党申请书，发展为入党积极分子。,4,4,4,4,4,4,4,0,4,4,100,高转化闭环,年级：大二 专业：法学 政治面貌：共青团员，团龄3年，已递交入党申请书，发展为入党积极分子。 每学期主动参与2次以上红色研学，常态化参与团支部红色宣讲、史料整理。 课余主动阅读党史书籍，红色历史知识体系掌握完整，历史观客观端正，红色文化传播意愿突出。参观学习前已坚定入党信念，深度走访红色基地、研读革命史料后，理想信念进一步增强，主动撰写研学感悟，在校内分享红色见闻，入党意愿极强，入党动机纯粹。
12,大一,汉语言文学,共青团员，团龄一年，近期刚刚递交入党申请。,2,4,4,3,3,2,4,2,4,4,89,高转化闭环,年级：大一 专业：汉语言文学 政治面貌：共青团员，团龄一年，近期刚刚递交入党申请。 平均每学期参观红色教育基地一次，积极参加学校、班级组织的红色参观活动，全程认真参与，从不缺席。愿意主动了解地方革命故事，基础历史认知扎实，思想态度正向，可塑性强。 参与红色实践前入党意向模糊、意愿摇摆；实地接受红色文化熏陶后，被先辈事迹深深触动，入党意向变得清晰坚定，主动咨询入党流程习要求。
13,大二,经济学,共青团员，团龄半年，暂时没有明确入党规划，未递交入党申请书。,1,1,1,1,2,1,1,0,1,2,31,渐进转化,年级：大二 专业：经济学 政治面貌：共青团员，团龄半年，暂时没有明确入党规划，未递交入党申请书。 平均每年参观红色教育基地1次，仅参与学院统一组织的集体参观活动，无自发研学行为。 课内能够跟随老师节奏学习历史，课外很少主动接触相关内容，历史观符合主流标准，但主观探索意愿平淡。参观红色场馆前后心态没有明显起伏，不抵触红色学习，也不会主动深究历史细节，对待入党、红色实践保持顺其自然的中立态度。
14,大四,工商管理,共青团员，团龄4年，从未考虑过入党，不关注党课、团课拓展学习内容。,0,0,0,0,1,0,0,0,0,1,6,低触达,年级：大四 专业：工商管理 政治面貌：共青团员，团龄4年，从未考虑过入党，不关注党课、团课拓展学习内容。 大学期间仅入学被迫参与一次红色参观，班级后续红色活动常找理由推脱，参观全程态度敷衍，仅当作任务，参观结束后很快淡忘内容，个人历史观没有明显变化，历史认知停留在浅层应试层面。
15,大四,英语,共青团员，团龄两年，拒绝向党组织靠拢。,0,0,0,0,0,0,0,0,0,0,0,低触达,年级：大四 专业：英语 政治面貌：共青团员，团龄两年，拒绝向党组织靠拢。 大学四年全程没有走进红色教育基地，也拒绝接受历史观教育，长期远离红色教育场景。习惯碎片化浏览网络片面历史言论，既无意向递交入党申请，也不愿主动纠正错误。历史知识储备匮乏，容易被碎片化信息误导，缺乏系统正确的历史观，不认可红色文化的历史价值。
16,研一,艺术设计,共青团员，团龄四年。,2,3,4,4,3,1,3,2,2,3,84,高转化闭环,年级：研一 专业：艺术设计 政治面貌：共青团员，团龄四年。 自大学本科以来累计参观红色教育基地3次。参观红色教育基地前，对入党持模糊态度，更多关注个人专业素养提升；参观红色教育基地后，被革命先辈的精神深深触动，开始尝试将红色主题融入艺术创作，入党意向从“与我无关”转变为“用艺术好红色故事”。
17,研一,物理学,中共党员，党龄半年。,3,3,4,4,3,2,4,2,3,4,88,高转化闭环,年级：研一 专业：物理学 政治面貌：中共党员，党龄半年。 研究生期间每学期随导师课题组前往红色教育基地一次，累计参观四次。参观红色教育基地前，自认为对党史政治兴趣不大，入党只是为了在今后的升学求职中获得更多优待，入党动机不够纯粹。参观红色教育基地过程中，通过学习党的百年发展历程，个人思想觉悟不断提高，热切地希望通过科技报国，在支部会议上主动分享感悟，获得好评。
18,研二,音乐表演,共青团员，团龄三年，尚未递交入党申请书。,3,3,3,3,2,0,3,3,2,3,68,渐进转化,年级：研二 专业：音乐表演 政治面貌：共青团员，团龄三年，尚未递交入党申请书。 本科期间未前往红色教育基地参观，研究生阶段跟随学院前往红色教育基地参观三次。参观红色教育基地前，对相关政治活动毫无兴趣；参观红色教育基地后，表示愿意进一步了解党的历史发展进程，产生了向党组织靠拢的意向，参观结束后一个月向党支部递交了入党申请书。
19,研二,生物制药,共青团员，团龄四年，已被确定为入党积极分子。,4,3,4,4,3,2,4,2,3,4,88,高转化闭环,年级：研二 专业：生物制药 政治面貌：共青团员，团龄四年，已被确定为入党积极分子。 本科阶段随学院党支部前往红色教育基地参观3次，研究生入学以前往红色教育基地参观2次。参观红色教育基地前，其认为入党流程繁琐而没有主动申请加入党组织；参观红色教育基地后，其入党意向明显增强，主动递交入党申请书，参加党团学习活动，表示今后将以革命先辈为榜样，坚持以人民为中心，全心全意为人民服务。
20,研三,中共党史党建学,中共党员，党龄两年。,3,3,4,4,4,2,4,2,2,4,90,高转化闭环,年级：研三 专业：中共党史党建学 政治面貌：中共党员，党龄两年。 本科期间未前往红色教育基地参观，研究生阶段每年随学校前往红色教育基地参观。参观红色教育基地前，其有向党组织靠拢的意向，但入党动机较为功利，认为党员身份对考公就业有帮助。参观红色教育基地后，其开始从学术角度研究红色文献，撰写关于革命家书文学价值的课程论文，入党动机从功利驱动转变为信仰驱动，表示想在真正为人民群众办实事。
